	id	season	city	date	team1	team2	toss_winner	toss_decision	result	dl_applied	winner	win_by_runs	win_by_wickets	player_of_match	venue	umpire1	umpire2	umpire3	team1Winning	Avg_SR_Difference	Avg_WPR_Difference	Total_MVP_Difference	Prev_Enc_Team1_WinPerc	Total_RF_Difference
243	244	2011	Kolkata	2011-05-22	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	5	JEC Franklin	Eden Gardens	SK Tarapore	SJA Taufel		0	-5.95544613226	1.28360014314	6	16.6666666667	33.3333333333
244	245	2011	Mumbai	2011-05-24	Royal Challengers Bangalore	Chennai Super Kings	Chennai Super Kings	field	normal	0	Chennai Super Kings	0	6	SK Raina	Wankhede Stadium	Asad Rauf	SJA Taufel		0	-24.8851951018	-0.863392493229	-11	55.5555555556	0.0
245	246	2011	Mumbai	2011-05-25	Kolkata Knight Riders	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	4	MM Patel	Wankhede Stadium	Asad Rauf	SJA Taufel		0	-29.0506147804	-1.4212445285	5	14.2857142857	33.3333333333
246	247	2011	Chennai	2011-05-27	Royal Challengers Bangalore	Mumbai Indians	Mumbai Indians	field	normal	0	Royal Challengers Bangalore	43	0	CH Gayle	MA Chidambaram Stadium, Chepauk	Asad Rauf	SJA Taufel		1	-18.8835418669	-0.953227989494	-10	37.5	-33.3333333333
247	248	2011	Chennai	2011-05-28	Chennai Super Kings	Royal Challengers Bangalore	Chennai Super Kings	bat	normal	0	Chennai Super Kings	58	0	M Vijay	MA Chidambaram Stadium, Chepauk	Asad Rauf	SJA Taufel		1	18.0826307241	-0.102161633323	10	50.0	0.0
248	249	2012	Chennai	2012-04-04	Chennai Super Kings	Mumbai Indians	Mumbai Indians	field	normal	0	Mumbai Indians	0	8	RE Levi	MA Chidambaram Stadium, Chepauk	JD Cloete	SJA Taufel		0	7.9232976821	0.163989739107	1	50.0	0.0
249	250	2012	Kolkata	2012-04-05	Kolkata Knight Riders	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	8	IK Pathan	Eden Gardens	S Asnani	HDPK Dharmasena		0	7.20646463533	-1.58055077558	16	50.0	0.0
251	252	2012	Jaipur	2012-04-06	Rajasthan Royals	Kings XI Punjab	Kings XI Punjab	field	normal	0	Rajasthan Royals	31	0	AM Rahane	Sawai Mansingh Stadium	BF Bowden	SK Tarapore		1	-11.4712176913	0.401743992708	-4	57.1428571429	0.0
252	253	2012	Bangalore	2012-04-07	Royal Challengers Bangalore	Delhi Daredevils	Delhi Daredevils	field	normal	0	Royal Challengers Bangalore	20	0	AB de Villiers	M Chinnaswamy Stadium	S Asnani	S Ravi		1	4.58018283641	-0.00841566908855	0	28.5714285714	-100.0
254	255	2012	Jaipur	2012-04-08	Rajasthan Royals	Kolkata Knight Riders	Kolkata Knight Riders	field	normal	0	Rajasthan Royals	22	0	BJ Hodge	Sawai Mansingh Stadium	BF Bowden	VA Kulkarni		1	-12.3175490252	5.07256007611	-14	42.8571428571	100.0
257	258	2012	Bangalore	2012-04-10	Kolkata Knight Riders	Royal Challengers Bangalore	Royal Challengers Bangalore	field	normal	0	Kolkata Knight Riders	42	0	L Balaji	M Chinnaswamy Stadium	S Ravi	RJ Tucker		1	-0.59087816006	0.375872165264	9	42.8571428571	-100.0
258	259	2012	Delhi	2012-04-10	Chennai Super Kings	Delhi Daredevils	Delhi Daredevils	field	normal	0	Delhi Daredevils	0	8	M Morkel	Feroz Shah Kotla	Asad Rauf	SK Tarapore		0	-19.5400900328	0.00892088224704	3	57.1428571429	-50.0
259	260	2012	Mumbai	2012-04-11	Mumbai Indians	Rajasthan Royals	Rajasthan Royals	field	normal	0	Mumbai Indians	27	0	KA Pollard	Wankhede Stadium	Aleem Dar	BNJ Oxenford		1	4.52939350314	0.140370091284	8	42.8571428571	0.0
260	261	2012	Chennai	2012-04-12	Royal Challengers Bangalore	Chennai Super Kings	Royal Challengers Bangalore	bat	normal	0	Chennai Super Kings	0	5	F du Plessis	MA Chidambaram Stadium, Chepauk	HDPK Dharmasena	RJ Tucker		0	-5.89574136858	-1.44618439657	-5	45.4545454545	50.0
